Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount,month_val,day,month,day_val
522,2023-01-01,CUST522,Male,46,Beauty,3,500,1500,January,Sunday,1,6
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,January,Sunday,1,6
559,2023-01-01,CUST559,Female,40,Clothing,4,300,1200,January,Sunday,1,6
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,January,Monday,1,0
979,2023-01-02,CUST979,Female,19,Beauty,1,25,25,January,Monday,1,0
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,January,Monday,1,0
421,2023-01-02,CUST421,Female,37,Clothing,3,500,1500,January,Monday,1,0
610,2023-01-03,CUST610,Female,26,Beauty,2,300,600,January,Tuesday,1,1
683,2023-01-04,CUST683,Male,38,Beauty,2,500,1000,January,Wednesday,1,2
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,January,Wednesday,1,2
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,January,Wednesday,1,2
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50,January,Thursday,1,3
367,2023-01-05,CUST367,Female,57,Electronics,1,50,50,January,Thursday,1,3
432,2023-01-05,CUST432,Female,60,Electronics,2,500,1000,January,Thursday,1,3
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,January,Friday,1,4
845,2023-01-06,CUST845,Male,54,Clothing,1,500,500,January,Friday,1,4
921,2023-01-07,CUST921,Male,51,Electronics,3,25,75,January,Saturday,1,5
797,2023-01-07,CUST797,Male,40,Clothing,3,25,75,January,Saturday,1,5
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,January,Sunday,1,6
907,2023-01-08,CUST907,Female,45,Electronics,1,25,25,January,Sunday,1,6
860,2023-01-09,CUST860,Male,63,Clothing,4,50,200,January,Monday,1,0
734,2023-01-10,CUST734,Female,27,Clothing,1,30,30,January,Tuesday,1,1
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,January,Tuesday,1,1
746,2023-01-11,CUST746,Female,33,Clothing,3,30,90,January,Wednesday,1,2
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,January,Wednesday,1,2
679,2023-01-11,CUST679,Female,18,Beauty,3,30,90,January,Wednesday,1,2
484,2023-01-13,CUST484,Female,19,Clothing,4,300,1200,January,Friday,1,4
591,2023-01-13,CUST591,Male,53,Electronics,4,25,100,January,Friday,1,4
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,January,Friday,1,4
464,2023-01-13,CUST464,Male,38,Electronics,2,300,600,January,Friday,1,4
708,2023-01-14,CUST708,Female,43,Beauty,3,300,900,January,Saturday,1,5
768,2023-01-14,CUST768,Female,24,Beauty,3,25,75,January,Saturday,1,5
713,2023-01-14,CUST713,Male,34,Beauty,3,25,75,January,Saturday,1,5
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,January,Saturday,1,5
697,2023-01-15,CUST697,Male,53,Clothing,1,500,500,January,Sunday,1,6
831,2023-01-15,CUST831,Male,27,Electronics,4,25,100,January,Sunday,1,6
499,2023-01-15,CUST499,Male,46,Beauty,2,30,60,January,Sunday,1,6
743,2023-01-16,CUST743,Female,34,Beauty,4,500,2000,January,Monday,1,0
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,January,Monday,1,0
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,January,Tuesday,1,1
986,2023-01-17,CUST986,Female,49,Clothing,2,500,1000,January,Tuesday,1,1
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,January,Tuesday,1,1
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,January,Tuesday,1,1
438,2023-01-19,CUST438,Female,42,Clothing,1,30,30,January,Thursday,1,3
475,2023-01-20,CUST475,Male,26,Clothing,3,25,75,January,Friday,1,4
505,2023-01-20,CUST505,Male,24,Beauty,1,50,50,January,Friday,1,4
448,2023-01-21,CUST448,Female,54,Beauty,2,30,60,January,Saturday,1,5
